Occupancy,Flood,Age
1.200,0.000,0.527
1.200,0.000,0.530
1.200,0.000,0.533
1.200,0.000,0.536
1.200,0.000,0.539
1.200,0.000,0.542
1.200,0.000,0.545
1.200,0.000,0.551
1.200,0.000,0.558
1.200,0.000,0.560
1.200,0.000,0.563
1.200,0.000,0.567
1.200,0.000,0.570
1.200,0.000,0.573
1.200,0.000,0.576
1.200,0.000,0.579
1.200,0.000,0.585
1.200,0.000,0.588
1.200,0.000,0.591
1.200,0.000,0.594
1.200,0.000,0.597
1.200,0.000,0.600
1.200,0.000,0.603
1.200,0.000,0.606
1.200,0.000,0.612
1.200,0.000,0.615
1.200,0.000,0.618
1.200,0.000,0.622
1.200,0.000,0.625
1.200,0.000,0.628
1.200,0.000,0.631
1.200,0.000,0.634
1.200,0.000,0.637
1.200,0.000,0.640
1.200,0.000,0.646
1.200,0.000,0.649
1.200,0.000,0.652
1.200,0.000,0.655
1.200,0.000,0.658
1.200,0.000,0.661
1.200,0.000,0.664
1.200,0.000,0.667
1.200,0.000,0.670
1.200,0.000,0.673
1.200,0.000,0.677
1.200,0.000,0.646
1.200,0.000,0.649
1.200,0.000,0.652
1.200,0.000,0.655
1.200,0.000,0.658
1.200,0.000,0.660
1.200,0.000,0.663
1.200,0.000,0.666
1.200,0.000,0.669
1.200,0.000,0.672
1.200,0.000,0.675
1.200,0.000,0.679
1.200,0.000,0.685
1.200,0.000,0.689
1.200,0.000,0.692
1.200,0.000,0.695
1.200,0.000,0.699
1.200,0.000,0.702
1.200,0.000,0.705
1.200,0.000,0.709
1.200,0.000,0.712
1.200,0.000,0.715
1.200,0.000,0.719
1.200,0.000,0.725
1.200,0.000,0.729
1.200,0.000,0.732
1.200,0.000,0.735
1.200,0.000,0.716
1.200,0.000,0.720
1.200,0.000,0.726
1.200,0.000,0.730
1.200,0.000,0.733
1.200,0.000,0.740
1.200,0.000,0.746
1.200,0.000,0.700
1.200,0.000,0.703
1.200,0.000,0.710
1.200,0.000,0.713
1.200,0.000,0.720
1.200,0.000,0.723
1.200,0.000,0.726
1.200,0.000,0.733
1.200,0.000,0.736
1.200,0.000,0.740
1.200,0.000,0.743
1.200,0.000,0.746
1.200,0.000,0.753
1.200,0.000,0.756
1.200,0.000,0.760
1.200,0.000,0.766
1.200,0.000,0.770
1.200,0.000,0.773
1.200,0.000,0.780
1.200,0.000,0.783
1.200,0.000,0.786
1.200,0.000,0.790
1.200,0.000,0.796
1.200,0.000,0.746
1.200,0.000,0.749
1.200,0.000,0.756
1.200,0.000,0.759
1.200,0.000,0.762
1.200,0.000,0.766
1.200,0.000,0.772
1.200,0.000,0.776
1.200,0.000,0.779
1.200,0.000,0.782
1.200,0.000,0.786
1.200,0.000,0.789
1.200,0.000,0.792
1.200,0.000,0.796
1.200,0.000,0.802
1.200,0.000,0.806
1.200,0.000,0.809
1.200,0.000,0.812
1.200,0.000,0.816
1.200,0.000,0.822
1.200,0.000,0.829
1.200,0.000,0.832
1.200,0.000,0.839
1.200,0.000,0.842
1.200,0.000,0.849
1.200,0.000,0.852
1.200,0.000,0.859
1.200,0.000,0.862
1.200,0.000,0.866
1.200,0.000,0.872
1.200,0.000,0.876
1.200,0.000,0.879
1.200,0.000,0.886
1.200,0.000,0.889
1.200,0.000,0.892
1.200,0.000,0.896
1.150,0.000,0.851
1.150,0.000,0.854
1.150,0.000,0.861
1.150,0.000,0.864
1.150,0.000,0.799
1.150,0.000,0.802
1.150,0.000,0.805
1.150,0.000,0.808
1.150,0.000,0.811
1.150,0.000,0.814
1.150,0.000,0.817
1.150,0.000,0.823
1.150,0.000,0.826
1.150,0.000,0.829
1.150,0.000,0.832
1.150,0.000,0.835
1.150,0.000,0.838
1.150,0.000,0.841
1.150,0.000,0.844
1.150,0.000,0.850
1.150,0.000,0.853
1.150,0.000,0.857
1.150,0.000,0.820
1.150,0.000,0.823
1.150,0.000,0.827
1.150,0.000,0.830
1.150,0.000,0.833
1.150,0.000,0.836
1.150,0.000,0.839
1.150,0.000,0.845
1.150,0.000,0.848
1.150,0.000,0.781
1.150,0.000,0.784
1.150,0.000,0.788
1.150,0.000,0.791
1.150,0.000,0.794
1.150,0.000,0.795
1.150,0.000,0.798
1.150,0.000,0.804
1.150,0.000,0.807
1.150,0.000,0.810
1.150,0.000,0.813
1.150,0.000,0.816
1.150,0.000,0.819
1.150,0.000,0.822
1.150,0.000,0.826
1.150,0.000,0.829
1.150,0.000,0.832
1.150,0.000,0.838
1.150,0.000,0.841
1.150,0.000,0.844
1.150,0.000,0.847
1.150,0.000,0.850
1.150,0.000,0.853
1.150,0.000,0.856
1.150,0.000,0.859
1.150,0.000,0.862
1.150,0.000,0.868
1.150,0.000,0.787
1.100,0.000,0.735
1.100,0.000,0.738
1.100,0.000,0.741
1.100,0.000,0.744
1.100,0.000,0.746
1.100,0.000,0.749
1.100,0.000,0.752
1.100,0.000,0.759
1.100,0.000,0.761
1.100,0.000,0.764
1.100,0.000,0.767
1.100,0.000,0.770
1.100,0.000,0.773
1.100,0.000,0.777
1.100,0.000,0.780
1.100,0.000,0.783
1.100,0.000,0.786
1.100,0.000,0.762
1.100,0.000,0.765
1.100,0.000,0.768
1.100,0.000,0.771
1.100,0.000,0.774
1.100,0.000,0.777
1.100,0.000,0.780
1.100,0.000,0.783
1.100,0.000,0.786
1.100,0.000,0.789
1.100,0.000,0.792
1.100,0.000,0.795
1.100,0.000,0.802
1.100,0.000,0.805
1.100,0.000,0.808
1.100,0.000,0.811
