State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
213,3,2,5,0.38-0.50,0.25-0.38,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
214,3,2,6,0.38-0.50,0.25-0.38,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
215,3,2,7,0.38-0.50,0.25-0.38,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
216,3,3,0,0.38-0.50,0.38-0.50,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
217,3,3,1,0.38-0.50,0.38-0.50,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
218,3,3,2,0.38-0.50,0.38-0.50,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
219,3,3,3,0.38-0.50,0.38-0.50,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
220,3,3,4,0.38-0.50,0.38-0.50,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
221,3,3,5,0.38-0.50,0.38-0.50,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
222,3,3,6,0.38-0.50,0.38-0.50,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
223,3,3,7,0.38-0.50,0.38-0.50,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
224,3,4,0,0.38-0.50,0.50-0.62,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
225,3,4,1,0.38-0.50,0.50-0.62,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
226,3,4,2,0.38-0.50,0.50-0.62,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
227,3,4,3,0.38-0.50,0.50-0.62,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
228,3,4,4,0.38-0.50,0.50-0.62,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
229,3,4,5,0.38-0.50,0.50-0.62,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
230,3,4,6,0.38-0.50,0.50-0.62,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
231,3,4,7,0.38-0.50,0.50-0.62,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
232,3,5,0,0.38-0.50,0.62-0.75,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
233,3,5,1,0.38-0.50,0.62-0.75,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
